TCSS,142,{'0': 129, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 9, '8': 13, '9': 8, '10': 13, '11': 10, '12': 15, '13': 9, '14': 13, '15': 11, '16': 20, '17': 25, '18': 21, '19': 15, '20': 23, '21': 31, '22': 26, '23': 27, '24': 31, '25': 40, '26': 26, '27': 32, '28': 35, '29': 30, '30': 27, '31': 46, '32': 36, '33': 51, '34': 39, '35': 37, '36': 46, '37': 30, '38': 97, '39': 115, '40': 209}
TCSS,143,{'0': 116, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 13, '8': 7, '9': 5, '10': 10, '11': 5, '12': 8, '13': 12, '14': 9, '15': 11, '16': 9, '17': 13, '18': 14, '19': 8, '20': 28, '21': 25, '22': 20, '23': 19, '24': 21, '25': 43, '26': 21, '27': 37, '28': 35, '29': 36, '30': 39, '31': 37, '32': 37, '33': 46, '34': 43, '35': 47, '36': 54, '37': 48, '38': 85, '39': 62, '40': 90}
TCSS,305,{'0': 65, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 6, '8': 4, '9': 3, '10': 4, '11': 4, '12': 5, '13': 5, '14': 2, '15': 1, '16': 4, '17': 6, '18': 10, '19': 6, '20': 25, '21': 11, '22': 13, '23': 18, '24': 26, '25': 21, '26': 28, '27': 28, '28': 43, '29': 31, '30': 60, '31': 45, '32': 44, '33': 43, '34': 55, '35': 65, '36': 68, '37': 69, '38': 130, '39': 149, '40': 298}
TCSS,321,{'0': 91, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 4, '8': 5, '9': 5, '10': 13, '11': 7, '12': 13, '13': 9, '14': 9, '15': 21, '16': 18, '17': 26, '18': 40, '19': 16, '20': 43, '21': 25, '22': 41, '23': 45, '24': 35, '25': 34, '26': 50, '27': 47, '28': 36, '29': 40, '30': 64, '31': 63, '32': 51, '33': 41, '34': 63, '35': 74, '36': 56, '37': 52, '38': 59, '39': 58, '40': 330}
TCSS,322,{'0': 3, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 1, '11': 0, '12': 0, '13': 0, '14': 1, '15': 0, '16': 0, '17': 0, '18': 1, '19': 0, '20': 2, '21': 0, '22': 2, '23': 2, '24': 1, '25': 3, '26': 0, '27': 0, '28': 1, '29': 1, '30': 1, '31': 1, '32': 1, '33': 3, '34': 2, '35': 1, '36': 1, '37': 7, '38': 1, '39': 0, '40': 24}
TCSS,325,{'0': 30, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 5, '8': 1, '9': 1, '10': 1, '11': 2, '12': 1, '13': 1, '14': 4, '15': 1, '16': 1, '17': 1, '18': 1, '19': 5, '20': 9, '21': 6, '22': 12, '23': 11, '24': 7, '25': 14, '26': 22, '27': 25, '28': 27, '29': 28, '30': 64, '31': 44, '32': 73, '33': 82, '34': 126, '35': 138, '36': 136, '37': 172, '38': 184, '39': 204, '40': 375}
TCSS,333,{'0': 44, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 10, '8': 3, '9': 4, '10': 3, '11': 3, '12': 4, '13': 4, '14': 4, '15': 4, '16': 2, '17': 7, '18': 7, '19': 6, '20': 40, '21': 18, '22': 15, '23': 20, '24': 20, '25': 16, '26': 20, '27': 17, '28': 23, '29': 17, '30': 16, '31': 24, '32': 19, '33': 30, '34': 26, '35': 15, '36': 25, '37': 22, '38': 47, '39': 62, '40': 80}
TCSS,342,{'0': 65, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 15, '8': 9, '9': 2, '10': 8, '11': 5, '12': 7, '13': 3, '14': 8, '15': 5, '16': 3, '17': 12, '18': 3, '19': 4, '20': 29, '21': 19, '22': 17, '23': 33, '24': 20, '25': 30, '26': 32, '27': 28, '28': 28, '29': 38, '30': 58, '31': 67, '32': 50, '33': 60, '34': 62, '35': 57, '36': 60, '37': 69, '38': 99, '39': 119, '40': 270}
TCSS,343,{'0': 22, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 5, '8': 1, '9': 0, '10': 8, '11': 7, '12': 5, '13': 1, '14': 3, '15': 11, '16': 8, '17': 14, '18': 5, '19': 0, '20': 30, '21': 26, '22': 19, '23': 22, '24': 23, '25': 24, '26': 27, '27': 41, '28': 37, '29': 43, '30': 43, '31': 117, '32': 51, '33': 61, '34': 82, '35': 66, '36': 61, '37': 76, '38': 56, '39': 66, '40': 215}
TCSS,360,{'0': 8, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 3, '8': 0, '9': 1, '10': 0, '11': 1, '12': 2, '13': 1, '14': 1, '15': 2, '16': 1, '17': 0, '18': 1, '19': 1, '20': 15, '21': 4, '22': 7, '23': 1, '24': 5, '25': 23, '26': 7, '27': 10, '28': 13, '29': 15, '30': 28, '31': 15, '32': 28, '33': 27, '34': 55, '35': 47, '36': 48, '37': 76, '38': 127, '39': 149, '40': 512}
TCSS,371,{'0': 29, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 4, '8': 3, '9': 1, '10': 9, '11': 1, '12': 2, '13': 3, '14': 2, '15': 7, '16': 4, '17': 4, '18': 2, '19': 1, '20': 44, '21': 11, '22': 19, '23': 26, '24': 22, '25': 25, '26': 25, '27': 32, '28': 29, '29': 20, '30': 53, '31': 44, '32': 36, '33': 50, '34': 44, '35': 53, '36': 68, '37': 57, '38': 99, '39': 157, '40': 272}
TCSS,372,{'0': 23, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 2, '8': 2, '9': 3, '10': 1, '11': 0, '12': 0, '13': 1, '14': 0, '15': 0, '16': 0, '17': 0, '18': 2, '19': 0, '20': 27, '21': 2, '22': 5, '23': 4, '24': 13, '25': 14, '26': 10, '27': 29, '28': 28, '29': 18, '30': 32, '31': 22, '32': 48, '33': 38, '34': 43, '35': 49, '36': 51, '37': 67, '38': 106, '39': 117, '40': 194}
TCSS,380,{'0': 16, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 1, '8': 0, '9': 0, '10': 2, '11': 0, '12': 1, '13': 2, '14': 3, '15': 2, '16': 3, '17': 3, '18': 0, '19': 2, '20': 3, '21': 15, '22': 9, '23': 7, '24': 10, '25': 9, '26': 18, '27': 13, '28': 17, '29': 22, '30': 21, '31': 18, '32': 25, '33': 35, '34': 35, '35': 40, '36': 38, '37': 39, '38': 87, '39': 116, '40': 91}
