PREFIX, NUMBER, SAMPLE SIZE, 0.0 - 0.9, 1.0 - 1.9, 2.0 - 2.9, 3.0 - 4.0 
ENGL,383,379,0.0079155672823219,0.002638522427440633,0.002638522427440633,0.9868073878627969
DRAMA,354,18,0.05555555555555555,0.0,0.05555555555555555,0.8888888888888888
AIS,380,76,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.9210526315789473
AIS,385,26,0.07692307692307693,0.038461538461538464,0.07692307692307693,0.8076923076923077
AIS,425,16,0.0,0.0625,0.1875,0.75
AIS,431,56,0.03571428571428571,0.017857142857142856,0.10714285714285714,0.8392857142857143
AIS,440,21,0.047619047619047616,0.0,0.047619047619047616,0.9047619047619048
ENVIR,310,88,0.03409090909090909,0.03409090909090909,0.14772727272727273,0.7840909090909091
AIS,441,83,0.012048192771084338,0.0,0.07228915662650602,0.9156626506024096
AIS,443,185,0.02702702702702703,0.0,0.02702702702702703,0.9459459459459459
ENGL,302,1142,0.014010507880910683,0.006129597197898424,0.04553415061295972,0.9343257443082311
AIS,444,8,0.0,0.0,0.125,0.875
AIS,461,17,0.0,0.0,0.0,1.0
ENGR,231,4571,0.007875738350470356,0.0028440166265587398,0.012469919054911398,0.9768103259680595
AIS,465,27,0.037037037037037035,0.0,0.0,0.9629629629629629
ENVH,310,40,0.0,0.0,0.075,0.925
AIS,466,35,0.0,0.0,0.05714285714285714,0.9428571428571428
AIS,475,75,0.013333333333333334,0.0,0.013333333333333334,0.9733333333333334
AIS,480,95,0.05263157894736842,0.021052631578947368,0.021052631578947368,0.9052631578947369
ENVIR,301,119,0.008403361344537815,0.008403361344537815,0.13445378151260504,0.8487394957983193
AIS,499,139,0.007194244604316547,0.0,0.007194244604316547,0.9856115107913669
ESRM,304,567,0.014109347442680775,0.014109347442680775,0.07760141093474426,0.8941798941798942
ESS,312,301,0.04318936877076412,0.023255813953488372,0.26245847176079734,0.6710963455149501
ESRM,351,125,0.016,0.04,0.2,0.744
AMATH,301,8184,0.03372434017595308,0.028714565004887584,0.1125366568914956,0.8250244379276638
ESRM,368,57,0.05263157894736842,0.017543859649122806,0.08771929824561403,0.8421052631578947
ESS,211,533,0.0450281425891182,0.0450281425891182,0.30393996247654786,0.6060037523452158
ESRM,350,365,0.0027397260273972603,0.021917808219178082,0.3013698630136986,0.673972602739726
ESS,310,24,0.0,0.041666666666666664,0.375,0.5833333333333334
ESS,316,49,0.08163265306122448,0.061224489795918366,0.14285714285714285,0.7142857142857143
FHL,375,79,0.0,0.0,0.0,1.0
FISH,274,19,0.10526315789473684,0.0,0.0,0.8947368421052632
AMATH,351,1481,0.042538825118163405,0.03713706954760297,0.1323430114787306,0.7879810938555031
FISH,312,145,0.027586206896551724,0.06206896551724138,0.1793103448275862,0.7310344827586207
AMATH,353,618,0.05016181229773463,0.030744336569579287,0.1488673139158576,0.7702265372168284
FRENCH,320,45,0.022222222222222223,0.0,0.1111111111111111,0.8666666666666667
AMATH,383,1390,0.03093525179856115,0.019424460431654675,0.07697841726618705,0.8726618705035971
AMATH,401,220,0.045454545454545456,0.02727272727272727,0.12272727272727273,0.8045454545454546
AMATH,402,300,0.06,0.02666666666666667,0.17,0.7433333333333333
EPI,320,2707,0.015515330624307351,0.04432951606944958,0.21352050240118212,0.726634650905061
GENOME,371,1142,0.03852889667250438,0.1138353765323993,0.3353765323992995,0.5122591943957968
GEOG,337,129,0.06976744186046512,0.015503875968992248,0.13953488372093023,0.7751937984496124
FRENCH,306,137,0.029197080291970802,0.029197080291970802,0.0364963503649635,0.9051094890510949
AMATH,403,103,0.009708737864077669,0.02912621359223301,0.04854368932038835,0.912621359223301
