PREFIX, NUMBER, TOTAL, 0.0-.9, 1.0-1.9, 2.0-2.9, 3.0-4.0
TCSS,440,142,0.07042253521126761,0.1056338028169014,0.3591549295774648,0.4647887323943662
TCSS,445,983,0.012207527975584944,0.012207527975584944,0.10681586978636826,0.8687690742624619
TCSS,446,47,0.02127659574468085,0.02127659574468085,0.0851063829787234,0.8723404255319149
TCSS,450,719,0.016689847009735744,0.005563282336578581,0.06954102920723226,0.9082058414464534
TCSS,452,267,0.00749063670411985,0.011235955056179775,0.07116104868913857,0.9101123595505618
TCSS,455,223,0.03139013452914798,0.05829596412556054,0.02242152466367713,0.8878923766816144
TCSS,456,214,0.037383177570093455,0.004672897196261682,0.16822429906542055,0.7897196261682243
TCSS,458,90,0.044444444444444446,0.0,0.18888888888888888,0.7666666666666667
TCSS,460,204,0.03431372549019608,0.0,0.08823529411764706,0.8774509803921569
TCSS,461,181,0.0,0.0,0.0055248618784530384,0.994475138121547
TCSS,462,30,0.06666666666666667,0.03333333333333333,0.06666666666666667,0.8333333333333334
TCSS,465,13,0.0,0.0,0.0,1.0
TCSS,478,52,0.0,0.0,0.19230769230769232,0.8076923076923077
TCSS,480,94,0.09574468085106383,0.06382978723404255,0.2978723404255319,0.5425531914893617
TCSS,481,222,0.02702702702702703,0.009009009009009009,0.02252252252252252,0.9414414414414415
TCSS,483,51,0.0392156862745098,0.0,0.0784313725490196,0.8823529411764706
TCSS,487,229,0.056768558951965066,0.034934497816593885,0.10480349344978165,0.8034934497816594
TCSS,488,11,0.2727272727272727,0.09090909090909091,0.0,0.6363636363636364
TCSS,490,19,0.0,0.0,0.10526315789473684,0.8947368421052632
TCSS,491,477,0.0020964360587002098,0.006289308176100629,0.06289308176100629,0.9287211740041929
TCSS,496,23,0.0,0.0,0.0,1.0
TCSS,497,253,0.0,0.0,0.015810276679841896,0.9841897233201581
TCSS,498,85,0.0,0.0,0.023529411764705882,0.9764705882352941
TCSS,499,175,0.005714285714285714,0.005714285714285714,0.0,0.9885714285714285
TECON,101,573,0.07155322862129145,0.031413612565445025,0.1273996509598604,0.7696335078534031
TECON,200,995,0.06331658291457286,0.0592964824120603,0.18592964824120603,0.6914572864321608
TECON,201,1054,0.04079696394686907,0.03225806451612903,0.198292220113852,0.7286527514231499
TECON,316,144,0.0763888888888889,0.11805555555555555,0.20833333333333334,0.5972222222222222
TECON,320,183,0.0546448087431694,0.03278688524590164,0.08743169398907104,0.825136612021858
TECON,325,95,0.042105263157894736,0.0,0.0,0.9578947368421052
TECON,360,159,0.006289308176100629,0.012578616352201259,0.06289308176100629,0.9182389937106918
TECON,362,113,0.07079646017699115,0.05309734513274336,0.34513274336283184,0.5309734513274337
TECON,370,36,0.05555555555555555,0.0,0.1388888888888889,0.8055555555555556
TECON,410,129,0.06976744186046512,0.08527131782945736,0.2248062015503876,0.6201550387596899
TECON,418,68,0.0,0.04411764705882353,0.11764705882352941,0.8382352941176471
TECON,421,73,0.0136986301369863,0.0,0.2328767123287671,0.7534246575342466
TECON,430,123,0.024390243902439025,0.032520325203252036,0.15447154471544716,0.7886178861788617
TECON,441,95,0.042105263157894736,0.031578947368421054,0.18947368421052632,0.7368421052631579
TECON,450,151,0.026490066225165563,0.019867549668874173,0.2119205298013245,0.7417218543046358
TECON,470,139,0.02158273381294964,0.03597122302158273,0.23741007194244604,0.7050359712230215
TECON,480,54,0.018518518518518517,0.018518518518518517,0.14814814814814814,0.8148148148148148
TEE,225,149,0.006711409395973154,0.0,0.053691275167785234,0.9395973154362416
TEE,315,179,0.00558659217877095,0.00558659217877095,0.0893854748603352,0.8994413407821229
TEE,316,157,0.0,0.006369426751592357,0.05732484076433121,0.9363057324840764
